,r
0,565.0
1,263.0
2,249.0
3,197.0
4,181.5
5,261.0
6,254.0
7,264.0
8,331.0
9,240.0
10,306.0
11,619.0
12,740.0
13,279.0
14,228.5
15,235.0
16,710.0
17,315.0
18,414.0
19,297.0
20,275.0
21,529.5
22,233.0
23,197.0
24,316.5
25,363.0
26,661.0
27,672.0
28,710.0
29,292.0
30,615.0
31,760.0
32,264.0
33,240.0
34,400.0
35,495.0
36,222.0
37,626.0
