,r
0,571.0
1,267.0
2,251.0
3,199.0
4,178.0
5,259.0
6,255.0
7,264.0
8,329.0
9,242.0
10,310.0
11,616.0
12,740.0
13,276.0
14,232.0
15,238.0
16,711.5
17,314.0
18,418.0
19,297.0
20,273.0
21,530.5
22,236.0
23,202.0
24,312.5
25,368.0
26,664.0
27,672.0
28,708.5
29,297.5
30,607.5
31,760.0
32,273.0
33,251.0
34,363.5
35,479.0
36,224.0
37,630.5
