,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
10,10,308.0,6.872900000018945e-06,1.014220000001842e-05,5.508999999932485e-06,9.7721000000206e-06,8.483900000015865e-06,6.22320000005061e-06,8.466700000013817e-06,6.063499999982014e-06,6.5635999999358315e-06,8.354900000000498e-06,6.245699999993803e-06,7.6921999999513e-06,5.5415999999297585e-06,1.2707699999907618e-05,6.648600000005445e-06,1.3608200000021497e-05,9.864999999962264e-06,9.608499999984587e-06,8.832500000011124e-06,6.635200000033592e-06
11,11,599.0,0.01,0.007999999999999972,0.005999999999999943,0.005999999999999943,0.012000000000000028,0.005999999999999943,0.005999999999999943,0.014000000000000058,0.0040000000000000565,0.0040000000000000565,0.0040000000000000565,0.005999999999999943,0.015999999999999945,1.1141100000031656e-05,0.01,0.005999999999999943,0.005999999999999943,0.01,0.007999999999999972,0.0020000000000000282
12,12,756.0,0.6,0.63,0.59,0.624,0.626,0.594,0.636,0.624,0.624,0.626,0.6,0.616,0.626,0.61,0.616,0.58,0.626,0.6459999999999999,0.618,0.568
13,13,277.0,5.6848999999203895e-06,6.198699999941936e-06,6.470699999994167e-06,6.987799999933486e-06,5.400699999995595e-06,8.909899999878235e-06,7.142500000014707e-06,8.45720000000938e-06,7.9538999999329e-06,5.403899999976148e-06,8.853599999980589e-06,6.657499999960237e-06,7.3276999999905e-06,1.0004899999955796e-05,6.848899999880587e-06,1.2854999999944993e-05,7.92439999997896e-06,8.605299999970839e-06,8.008000000074844e-06,5.415199999987408e-06
14,14,222.0,6.733599999932949e-06,6.43510000003289e-06,5.400199999883171e-06,7.205400000032114e-06,1.0601599999944255e-05,5.8282999999903495e-06,9.352299999960678e-06,6.622499999906495e-06,5.441799999914565e-06,6.468499999954247e-06,6.447899999955098e-06,5.45709999997257e-06,7.67719999998917e-06,5.641899999915267e-06,6.4190999999880205e-06,6.494999999944184e-06,7.175299999886419e-06,5.662100000023429e-06,8.42529999999897e-06,7.14329999993879e-06
15,15,245.0,5.552100000016935e-06,9.933399999937364e-06,6.484399999919788e-06,6.429399999916541e-06,6.349899999946728e-06,5.602399999986574e-06,5.6426999999814595e-06,5.515199999877041e-06,7.437600000059774e-06,5.613699999997834e-06,7.018599999923936e-06,9.692799999925227e-06,5.441200000007029e-06,6.25989999988974e-06,8.136299999961238e-06,1.110080000003677e-05,9.268700000006901e-06,7.988799999907315e-06,6.920900000011443e-06,8.406099999973548e-06
16,16,712.5,0.06200000000000003,0.08200000000000003,0.07200000000000002,0.11200000000000003,0.05799999999999997,0.08200000000000003,0.10400000000000005,0.06599999999999995,0.10200000000000004,0.07200000000000002,0.08200000000000003,0.08799999999999997,0.08200000000000003,0.09200000000000003,0.07599999999999994,0.08,0.08200000000000003,0.07400000000000005,0.09,0.10599999999999994
17,17,338.0,9.904799999986836e-06,7.809399999985089e-06,5.651599999936252e-06,7.194399999974621e-06,6.521599999871341e-06,5.66319999990128e-06,8.53449999993927e-06,1.1376000000069552e-05,1.1109499999975015e-05,1.0697000000021717e-05,5.533599999978378e-06,5.8711999999161435e-06,7.5810999999248454e-06,1.5950899999950252e-05,8.469899999852259e-06,6.2203999999610456e-06,5.961800000022777e-06,1.327109999991194e-05,1.2575899999944795e-05,1.007509999993772e-05
18,18,424.0,1.0552199999978028e-05,1.210749999984273e-05,1.03073999999026e-05,1.3275199999895904e-05,8.45830000002934e-06,1.0903700000000071e-05,7.464099999907603e-06,1.106899999996358e-05,5.775999999997339e-06,8.677299999959587e-06,1.037339999996334e-05,1.0663399999941702e-05,1.3033200000052148e-05,6.127700000035929e-06,7.145200000024942e-06,1.380949999997938e-05,8.000100000060683e-06,1.3413099999866062e-05,1.2379999999865276e-05,1.8619199999960755e-05
19,19,278.0,9.60699999993153e-06,8.737199999870882e-06,7.021600000030048e-06,6.539999999972679e-06,6.158500000026379e-06,9.5490999999015e-06,1.082209999992756e-05,8.329499999888412e-06,5.4163999999445875e-06,7.0911000000251075e-06,5.534699999998338e-06,7.84369999990986e-06,6.121400000012045e-06,7.363499999968326e-06,6.7835999999488195e-06,6.634100000013632e-06,7.688500000000431e-06,1.0301899999944908e-05,5.607699999927718e-06,5.8273000000497175e-06
20,20,253.0,7.893899999942277e-06,7.878699999963601e-06,5.42740000000208e-06,1.316389999999501e-05,6.607499999944366e-06,5.5629999999951e-06,5.803500000070016e-06,8.582799999885537e-06,6.353899999851365e-06,6.372699999985798e-06,1.0748599999885755e-05,9.509799999989354e-06,7.010199999939459e-06,5.399899999929403e-06,5.401499999919679e-06,5.600100000009433e-06,8.474899999981744e-06,8.824699999934183e-06,9.524499999855606e-06,6.5693999999894e-06
21,21,545.0,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,8.944599999978208e-06,0.0040000000000000565,0.0020000000000000282,9.972299999958522e-06,0.0020000000000000282,8.325900000016872e-06,0.01,0.0020000000000000282,1.1171399999909682e-05,0.0020000000000000282,0.0040000000000000565,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282
22,22,263.0,9.006599999850095e-06,7.772700000003852e-06,6.75729999997543e-06,5.486299999972744e-06,5.4790999999454475e-06,7.941000000073472e-06,8.280099999922185e-06,6.987799999933486e-06,1.0367199999876675e-05,7.908099999980323e-06,6.178199999880007e-06,1.3304000000005089e-05,7.681099999956586e-06,5.462200000039274e-06,6.026199999951132e-06,6.898099999972373e-06,5.401699999936227e-06,5.850499999979775e-06,9.242200000016965e-06,7.411299999944277e-06
23,23,185.0,1.0247799999945074e-05,5.474899999882155e-06,5.671400000011318e-06,5.402599999939639e-06,5.979799999948909e-06,5.408699999946975e-06,5.5275999999082615e-06,5.400299999962499e-06,8.551500000066881e-06,6.956900000005817e-06,8.269599999977118e-06,7.492599999920913e-06,5.884399999871448e-06,6.0195000000362595e-06,8.459700000003068e-06,6.1110999999414165e-06,5.451600000014878e-06,6.585600000050818e-06,5.553199999894787e-06,6.892899999968449e-06
24,24,370.0,0.0020000000000000282,0.0020000000000000282,5.407999999960111e-06,1.0489900000010265e-05,5.433799999963185e-06,6.66620000004059e-06,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,7.366899999965426e-06,5.724199999974644e-06,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,7.287100000041846e-06,7.143200000001571e-06,7.216399999947498e-06,7.88000000000011e-06,5.722800000000916e-06,8.975500000047987e-06
