,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
11,11,542.5,0.007999999999999972,0.007999999999999972,0.0040000000000000565,0.0040000000000000565,0.01,0.005999999999999943,0.0020000000000000282,0.005999999999999943,0.0020000000000000282,6.592000000011922e-06,0.0020000000000000282,0.0020000000000000282,0.014000000000000058,1.011489999996229e-05,0.005999999999999943,0.005999999999999943,9.69709999992574e-06,0.01,0.0040000000000000565,7.876600000003009e-06
12,12,740.0,0.616,0.642,0.5920000000000001,0.634,0.636,0.608,0.642,0.634,0.632,0.63,0.608,0.626,0.632,0.62,0.624,0.59,0.638,0.6559999999999999,0.63,0.58
13,13,266.0,5.7047999999326744e-06,6.588300000061053e-06,6.409199999950488e-06,6.464699999924051e-06,5.401899999952775e-06,8.904999999970186e-06,7.578199999898061e-06,8.300100000013799e-06,8.28079999990905e-06,5.404399999946463e-06,8.899099999979398e-06,6.481100000002016e-06,7.4284000000091055e-06,9.362499999951979e-06,6.624399999992647e-06,1.1886000000060903e-05,8.012799999903564e-06,7.588999999939006e-06,7.88330000005999e-06,5.412900000010268e-06
14,14,221.0,6.9143999999710105e-06,6.275700000060169e-06,5.400199999883171e-06,7.575500000029933e-06,1.0759900000039125e-05,5.787199999929271e-06,9.386999999918544e-06,6.655500000078973e-06,5.422599999889144e-06,6.434599999920465e-06,6.335699999908684e-06,5.483999999995603e-06,7.527100000004339e-06,5.586599999958253e-06,6.476899999938724e-06,6.246199999964119e-06,7.090699999992011e-06,5.599499999959789e-06,8.528700000027812e-06,6.957199999959585e-06
15,15,244.0,5.461300000035862e-06,1.1151900000072602e-05,7.041499999900225e-06,6.565500000021984e-06,5.940300000020216e-06,5.618499999968663e-06,5.6299999999964716e-06,5.525199999993901e-06,7.770499999963931e-06,5.582199999878412e-06,7.556399999941732e-06,8.596099999920171e-06,5.432699999943225e-06,6.077299999986963e-06,6.791299999946432e-06,9.862799999922346e-06,9.774199999981193e-06,7.946099999998069e-06,6.736199999863856e-06,8.500600000047598e-06
16,16,710.0,0.06,0.07799999999999997,0.07,0.11,0.055999999999999946,0.08200000000000003,0.10400000000000005,0.07,0.09799999999999998,0.07200000000000002,0.08200000000000003,0.08799999999999997,0.08400000000000006,0.08799999999999997,0.07599999999999994,0.08200000000000003,0.08,0.07400000000000005,0.09,0.10200000000000004
17,17,331.0,8.80689999988249e-06,7.855799999987312e-06,5.865399999862575e-06,6.86200000004078e-06,6.601500000016358e-06,5.665200000066761e-06,8.56880000000615e-06,1.0961299999934226e-05,1.0707499999966785e-05,1.1663599999991448e-05,5.534699999998338e-06,6.127399999940053e-06,7.423199999863072e-06,1.5276599999936024e-05,8.50499999998533e-06,7.009899999843583e-06,5.954499999916152e-06,1.291029999990201e-05,1.1317599999927097e-05,1.0048599999947783e-05
18,18,427.0,1.0993799999852172e-05,1.1612499999955617e-05,1.0329699999971354e-05,1.23533000000009e-05,8.453399999979183e-06,1.1171700000005558e-05,7.6086999999347426e-06,1.146649999995475e-05,5.8171999998535285e-06,8.531499999975268e-06,1.0489000000006853e-05,1.006369999998924e-05,1.2799899999862419e-05,6.146799999982022e-06,7.006799999942359e-06,1.4875500000073316e-05,7.612499999964939e-06,1.374810000001503e-05,1.2446300000021892e-05,1.5885400000001937e-05
19,19,284.0,9.320899999920585e-06,7.839900000021771e-06,7.711500000056049e-06,6.702899999879719e-06,6.164200000000619e-06,8.809200000001738e-06,1.1805400000071131e-05,8.797199999861504e-06,5.416199999928039e-06,7.330400000000736e-06,5.585899999971389e-06,7.988699999970095e-06,6.33949999993888e-06,7.647499999876573e-06,6.75040000004401e-06,6.774299999960931e-06,8.462199999996756e-06,1.0963299999957598e-05,5.974700000024313e-06,5.7793000000572195e-06
20,20,254.0,7.300700000030247e-06,8.601899999973738e-06,5.415799999894943e-06,1.140039999995679e-05,6.0230999999078e-06,5.72239999996782e-06,6.228199999895878e-06,7.276199999921573e-06,6.951399999906016e-06,5.986999999976206e-06,1.1513700000023164e-05,1.1852199999964341e-05,7.28919999986033e-06,5.399899999929403e-06,5.402200000048652e-06,5.605799999983674e-06,8.42520000006175e-06,8.226500000034776e-06,1.0363600000005135e-05,7.95499999995286e-06
