,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
20,20,208.0,6.286600000038333e-06,8.246299999967732e-06,7.100699999966764e-06,6.379699999996547e-06,7.329299999980776e-06,5.793299999936607e-06,7.65449999988732e-06,6.468899999987343e-06,6.21539999997367e-06,6.2213999999016775e-06,5.842699999902834e-06,7.974999999902365e-06,8.409999999940964e-06,6.689100000016879e-06,5.457799999959434e-06,8.171999999859735e-06,9.817699999956631e-06,8.689999999944575e-06,6.915499999990971e-06,5.5190999999865654e-06
21,21,365.5,1.1075200000050245e-05,5.586499999878924e-06,0.0020000000000000282,1.2621599999960153e-05,0.0020000000000000282,8.307999999885851e-06,7.228300000008403e-06,6.668799999971498e-06,9.651199999893833e-06,0.0020000000000000282,7.158500000059575e-06,1.1450699999926429e-05,1.1423699999966175e-05,7.070299999867302e-06,6.801299999921184e-06,0.0020000000000000282,8.70079999998552e-06,5.6915999999773705e-06,9.096499999969864e-06,8.32840000001056e-06
22,22,260.0,6.458099999946398e-06,1.0583600000018123e-05,1.1478499999952873e-05,5.413199999964036e-06,8.089600000005248e-06,1.4243899999968335e-05,9.475499999922477e-06,7.442999999938138e-06,6.783499999869491e-06,5.890799999974661e-06,5.9034000000224295e-06,5.668299999967985e-06,8.383600000030356e-06,7.618199999939179e-06,1.1532999999985805e-05,5.778799999944795e-06,9.916399999951864e-06,5.5052999999816165e-06,9.916499999889083e-06,5.558000000007723e-06
23,23,188.0,1.08333000000016e-05,5.654899999996132e-06,7.935200000019903e-06,9.661999999934778e-06,7.283399999948869e-06,8.111199999945029e-06,6.0277999999414075e-06,7.130199999920706e-06,5.7601999999690176e-06,8.303799999964667e-06,8.046099999887701e-06,7.178399999929752e-06,6.673399999925777e-06,6.1396999998919455e-06,5.488200000058896e-06,5.7262999999352356e-06,5.6505999999956206e-06,1.029709999997408e-05,5.399599999975635e-06,5.410100000062812e-06
24,24,509.5,0.0020000000000000282,2.5481799999909073e-05,1.555010000004131e-05,0.0020000000000000282,1.3408099999878686e-05,0.0020000000000000282,7.693900000020904e-06,9.680499999973335e-06,0.0020000000000000282,1.8915499999963004e-05,1.0389699999961977e-05,0.0040000000000000565,1.717810000002373e-05,0.0020000000000000282,1.333819999999264e-05,6.7129999999338e-06,1.173069999993004e-05,1.3507500000002892e-05,5.955599999936112e-06,1.7517099999935228e-05
25,25,577.0,2.388920000001349e-05,1.5270899999961785e-05,2.150509999992778e-05,3.104129999996985e-05,2.3096199999912414e-05,2.179650000002198e-05,1.7332599999946295e-05,1.6867099999871017e-05,1.9620399999951132e-05,2.5691999999963856e-05,1.2952499999983048e-05,2.3904899999962482e-05,2.3856399999857557e-05,1.2045200000017076e-05,3.706139999991365e-05,3.29446999998595e-05,1.3985199999950738e-05,1.984010000001035e-05,2.265479999991271e-05,2.3988699999932806e-05
26,26,680.5,0.03200000000000003,0.045999999999999944,0.025999999999999943,0.03,0.03599999999999994,0.027999999999999973,0.03799999999999997,0.027999999999999973,0.04,0.03,0.03400000000000006,0.03,0.03200000000000003,0.024000000000000056,0.03400000000000006,0.02,0.03799999999999997,0.024000000000000056,0.03,0.03200000000000003
27,27,695.0,0.03200000000000003,0.03200000000000003,0.03,0.05,0.03799999999999997,0.04200000000000003,0.027999999999999973,0.03799999999999997,0.02,0.04799999999999997,0.03200000000000003,0.045999999999999944,0.04799999999999997,0.03400000000000006,0.04799999999999997,0.03599999999999994,0.04,0.04799999999999997,0.03799999999999997,0.04
28,28,735.0,0.07200000000000002,0.07799999999999997,0.09,0.06400000000000006,0.08,0.08799999999999997,0.1,0.07799999999999997,0.08599999999999994,0.08400000000000006,0.08,0.09,0.07799999999999997,0.08,0.07599999999999994,0.09,0.09400000000000006,0.09,0.05799999999999997,0.08
29,29,331.0,6.301599999858354e-06,6.757499999991978e-06,5.585800000034169e-06,5.454300000025114e-06,7.381500000036567e-06,6.861699999944904e-06,9.284299999876565e-06,1.6597999999987677e-05,1.1460399999947412e-05,6.424299999991945e-06,6.158900000059475e-06,1.024700000002099e-05,1.0008600000048773e-05,8.834399999955166e-06,1.1545499999954245e-05,1.4714400000030992e-05,1.014109999999846e-05,1.0433100000000195e-05,9.850699999987e-06,1.415210000004663e-05
30,30,298.0,5.474099999958071e-06,1.118849999997451e-05,5.615099999971562e-06,9.268399999911025e-06,1.0556099999945445e-05,6.599200000039218e-06,7.4152999999910206e-06,8.848199999960116e-06,6.277299999908337e-06,1.0164799999898832e-05,8.704999999906703e-06,1.9138400000002774e-05,8.814299999926333e-06,1.8650100000030533e-05,5.511199999972405e-06,8.638099999984661e-06,7.164799999941351e-06,8.789999999976318e-06,6.847699999923407e-06,6.416100000024016e-06
31,31,548.0,0.0020000000000000282,8.81809999995653e-06,0.0020000000000000282,2.138299999998594e-05,0.0040000000000000565,1.6771500000061224e-05,0.0020000000000000282,1.1514499999947248e-05,0.0020000000000000282,0.0020000000000000282,9.194499999978234e-06,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282,1.2388299999912533e-05,1.3412800000054403e-05,1.4765100000033726e-05,1.0449299999919503e-05,1.1705699999993158e-05,1.324029999992149e-05
32,32,508.0,1.8384499999939407e-05,1.7312599999996792e-05,1.0443699999882482e-05,1.6666300000025557e-05,1.2335400000011986e-05,1.1542799999944008e-05,1.0970999999955211e-05,1.4408299999928431e-05,2.855940000003443e-05,1.3514799999967408e-05,1.2751200000025164e-05,2.434349999987262e-05,1.4287099999990006e-05,1.156530000002931e-05,1.2104700000037382e-05,1.870850000003088e-05,1.0494599999901766e-05,1.126369999994381e-05,9.337900000048194e-06,2.382209999993279e-05
33,33,420.0,1.1145499999969388e-05,1.0421799999988935e-05,9.786199999979317e-06,1.984129999996753e-05,1.890809999991916e-05,1.4312199999864105e-05,8.829899999938107e-06,8.977899999962347e-06,1.2320799999940846e-05,6.63770000002728e-06,8.04959999996413e-06,8.76689999998348e-06,1.0892499999926031e-05,7.061700000008386e-06,1.4266599999928075e-05,7.569899999992913e-06,1.2687299999925017e-05,1.5745700000024954e-05,1.2485999999967134e-05,6.4055999999368394e-06
34,34,427.0,8.389499999879035e-06,1.0809899999912886e-05,1.5423199999986537e-05,6.695699999994531e-06,1.2109700000024759e-05,1.2047499999994216e-05,6.6040000000100464e-06,1.3398100000046043e-05,1.237399999993727e-05,1.4290699999861544e-05,1.478079999998272e-05,8.10099999995373e-06,0.0020000000000000282,1.7840600000056385e-05,1.1654700000036655e-05,1.1227800000028765e-05,1.713859999995293e-05,7.798599999944145e-06,7.77639999995472e-06,1.164749999986725e-05
35,35,441.5,1.4630000000011024e-05,9.02209999992465e-06,7.3890999999548516e-06,5.60969999995109e-06,1.0055300000004764e-05,1.1677800000029492e-05,7.116599999932305e-06,1.501750000002744e-05,1.3346499999897787e-05,0.0020000000000000282,1.0527399999915588e-05,0.0020000000000000282,1.1121199999877263e-05,1.708039999996913e-05,0.0020000000000000282,7.116299999978537e-06,8.060799999896061e-06,1.1855699999898662e-05,1.0340799999966065e-05,0.0020000000000000282
36,36,466.0,1.2215699999984508e-05,1.5427700000003596e-05,6.0567999999250335e-06,1.611740000001305e-05,9.794000000056258e-06,1.7131599999942182e-05,8.089199999972152e-06,1.1066299999953345e-05,1.447670000004564e-05,1.1405500000023494e-05,1.3344699999890963e-05,0.0020000000000000282,1.700180000000273e-05,1.3968599999856223e-05,9.208099999966635e-06,1.7565099999927723e-05,9.112599999951954e-06,1.2489399999964234e-05,1.213359999994168e-05,6.9832999999164255e-06
37,37,661.0,0.025999999999999943,0.02200000000000003,0.015999999999999945,0.03400000000000006,0.015999999999999945,0.014000000000000058,0.01799999999999997,0.02200000000000003,0.01799999999999997,0.0020000000000000282,0.025999999999999943,0.03,0.02200000000000003,0.005999999999999943,0.01799999999999997,0.03599999999999994,0.025999999999999943,0.025999999999999943,0.015999999999999945,0.03200000000000003
