,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
10,10,306.0,7.171599999935552e-06,8.687999999921203e-06,5.499800000023925e-06,1.0069599999980028e-05,9.467299999954548e-06,6.018799999907287e-06,8.841899999936231e-06,6.059299999918721e-06,5.8372999998823615e-06,8.128700000042954e-06,6.297899999907486e-06,7.100499999950216e-06,5.510199999889665e-06,1.1978200000015704e-05,6.781000000017911e-06,1.2545999999957758e-05,9.853699999951004e-06,9.11860000002207e-06,9.88930000005439e-06,6.422700000001669e-06
11,11,619.5,0.024000000000000056,0.01,0.012000000000000028,0.024000000000000056,0.02200000000000003,0.025999999999999943,0.02,0.027999999999999973,0.02200000000000003,0.01799999999999997,0.012000000000000028,0.01799999999999997,0.025999999999999943,0.005999999999999943,0.012000000000000028,0.02,0.01799999999999997,0.02200000000000003,0.01799999999999997,0.014000000000000058
12,12,740.0,0.618,0.652,0.608,0.64,0.636,0.614,0.6559999999999999,0.64,0.634,0.64,0.612,0.634,0.6459999999999999,0.628,0.63,0.59,0.6459999999999999,0.662,0.644,0.5920000000000001
13,13,281.0,5.68590000000313e-06,6.1185999999224806e-06,6.3294999999641274e-06,7.239999999910651e-06,5.400499999979047e-06,9.273000000007414e-06,7.474800000011328e-06,8.182799999900681e-06,8.143299999971987e-06,5.404300000009244e-06,8.696599999922228e-06,6.713100000013128e-06,7.3605999999415415e-06,1.0601399999927707e-05,6.86329999993518e-06,1.3734599999963848e-05,7.763899999986278e-06,8.571599999953606e-06,8.067999999923358e-06,5.415499999941175e-06
14,14,228.5,6.713799999999992e-06,6.355499999983749e-06,5.400299999962499e-06,7.046899999920697e-06,9.959000000065998e-06,5.798899999973628e-06,8.999399999964908e-06,7.034599999968805e-06,5.446299999931626e-06,6.157999999913954e-06,6.194899999911741e-06,5.4568000000188024e-06,8.204599999999118e-06,5.6960000000572105e-06,6.5375999999162105e-06,6.49989999999434e-06,7.649100000008958e-06,5.8060000000637045e-06,8.758099999965907e-06,7.089899999925819e-06
15,15,234.0,5.522799999937433e-06,1.071619999990503e-05,7.73659999993015e-06,6.348999999943316e-06,6.051099999950793e-06,5.532999999928733e-06,5.703799999992043e-06,5.516199999959781e-06,7.204699999903142e-06,5.542299999916623e-06,6.8531999998810985e-06,9.024599999918338e-06,5.425199999962161e-06,6.99409999995737e-06,6.314799999955767e-06,1.1221399999925552e-05,9.23609999986752e-06,8.565800000042145e-06,6.638799999905131e-06,7.835699999958479e-06
16,16,710.0,0.06,0.08200000000000003,0.07799999999999997,0.11599999999999994,0.05799999999999997,0.08200000000000003,0.1,0.06799999999999998,0.10200000000000004,0.07599999999999994,0.08,0.08799999999999997,0.08200000000000003,0.09400000000000006,0.07599999999999994,0.08,0.08200000000000003,0.07599999999999994,0.09,0.10799999999999997
17,17,316.0,8.829100000014023e-06,7.704300000028752e-06,5.629699999900594e-06,6.869799999975612e-06,6.705100000061747e-06,5.701299999998355e-06,8.544499999914024e-06,1.0820600000016611e-05,1.0745099999951434e-05,1.2136499999968465e-05,5.529399999915086e-06,6.346600000028957e-06,7.160999999911155e-06,1.4077900000017962e-05,8.345099999900185e-06,6.598899999943342e-06,5.995899999930998e-06,1.1794799999904627e-05,1.1809699999929535e-05,9.81429999995953e-06
18,18,414.0,1.060109999997394e-05,1.1778899999939085e-05,9.68000000000302e-06,1.2211899999954312e-05,8.581999999961453e-06,1.1714099999977633e-05,7.3205999999004235e-06,1.1320400000016662e-05,5.802000000016961e-06,8.017899999970269e-06,9.63089999999056e-06,1.0011699999949997e-05,1.2911999999971614e-05,6.041000000038821e-06,7.232199999975819e-06,1.3961300000033817e-05,7.412100000010469e-06,1.3668499999965888e-05,1.2576799999948207e-05,1.757479999994871e-05
19,19,295.0,1.0014499999897452e-05,8.312399999965692e-06,7.419199999958437e-06,6.355000000013433e-06,6.237199999929999e-06,8.485199999910265e-06,1.2514599999917664e-05,8.08829999996874e-06,5.4097999999669355e-06,7.267999999953645e-06,5.600199999946653e-06,8.010299999909876e-06,6.872099999952752e-06,9.58899999986329e-06,6.916899999964699e-06,6.851599999890823e-06,7.755700000018351e-06,1.1331299999994826e-05,7.2778999999911775e-06,5.74850000006677e-06
