,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
10,10,307.0,7.087399999932132e-06,9.249000000011165e-06,5.502199999938284e-06,1.0165799999981572e-05,9.223899999852847e-06,6.046999999966829e-06,8.78749999998263e-06,5.9806999999523215e-06,5.984400000045298e-06,8.502099999958546e-06,6.271700000013425e-06,7.127599999989798e-06,5.530299999918498e-06,1.181259999995632e-05,6.4467999999351374e-06,1.3469399999905819e-05,9.410699999961026e-06,9.40679999999361e-06,9.206499999976358e-06,6.826399999937394e-06
11,11,615.5,0.012000000000000028,0.01,0.007999999999999972,0.015999999999999945,0.02,0.01799999999999997,0.01,0.01799999999999997,0.005999999999999943,0.01,0.007999999999999972,0.007999999999999972,0.02,0.0040000000000000565,0.012000000000000028,0.012000000000000028,0.014000000000000058,0.02,0.01,0.01
12,12,740.0,0.626,0.6559999999999999,0.612,0.644,0.642,0.62,0.6579999999999999,0.64,0.64,0.648,0.616,0.636,0.65,0.632,0.634,0.596,0.648,0.672,0.6459999999999999,0.598
13,13,271.0,5.702299999938987e-06,6.270500000056245e-06,6.372200000015482e-06,7.217699999984007e-06,5.400799999932815e-06,9.139999999945303e-06,7.5035000000411855e-06,7.613799999859339e-06,8.311799999916048e-06,5.404500000025792e-06,9.097799999864264e-06,6.5700999999762644e-06,7.400499999903331e-06,1.0143199999959052e-05,6.840300000021671e-06,1.3148699999874224e-05,7.202199999909453e-06,7.953799999995682e-06,8.455400000002555e-06,5.413399999980584e-06
14,14,227.0,6.671999999952049e-06,6.336499999974876e-06,5.400199999883171e-06,7.143400000018119e-06,9.936399999901368e-06,5.822100000045794e-06,8.960999999914066e-06,6.927399999909767e-06,5.4371999999602845e-06,6.259399999919424e-06,6.1833000000888205e-06,5.460199999873794e-06,8.296899999891138e-06,5.7056999999360866e-06,6.5242999998815775e-06,6.535600000034947e-06,7.629899999983537e-06,5.749900000040497e-06,8.670299999948838e-06,7.05899999999815e-06
15,15,229.0,5.513999999919861e-06,1.0367499999972551e-05,7.108899999934693e-06,6.444999999928314e-06,5.9512999999356e-06,5.53799999991611e-06,5.675099999962185e-06,5.510700000002089e-06,7.338399999952116e-06,5.551200000013523e-06,6.829900000013822e-06,8.551300000050333e-06,5.42629999998212e-06,7.2090999999829816e-06,6.526699999938046e-06,1.1185699999884946e-05,9.088999999988801e-06,8.386699999931579e-06,6.593899999955966e-06,8.01539999997658e-06
16,16,713.0,0.06,0.08200000000000003,0.07599999999999994,0.11599999999999994,0.05799999999999997,0.08200000000000003,0.1,0.06799999999999998,0.10400000000000005,0.07599999999999994,0.08,0.08799999999999997,0.08200000000000003,0.09200000000000003,0.07599999999999994,0.08,0.08200000000000003,0.07599999999999994,0.09,0.10799999999999997
17,17,327.0,9.106400000007398e-06,7.772199999891427e-06,5.593699999906221e-06,6.962500000042837e-06,6.664499999970985e-06,5.68599999994035e-06,8.615699999978688e-06,1.0978299999919728e-05,1.0821700000036572e-05,1.1810799999949495e-05,5.529399999915086e-06,6.211499999864145e-06,7.230899999939311e-06,1.457119999997758e-05,8.345399999996061e-06,6.634899999937716e-06,5.989199999874018e-06,1.2109199999912335e-05,1.1805799999962119e-05,9.822100000036472e-06
18,18,422.0,1.0623000000009597e-05,1.1783599999972693e-05,9.884800000037331e-06,1.2395600000019159e-05,8.571899999907374e-06,1.1482799999953386e-05,7.362899999918682e-06,1.1269599999934599e-05,5.791799999883551e-06,8.20449999991979e-06,9.818299999864167e-06,1.0205299999910267e-05,1.3147399999979826e-05,6.067099999995662e-06,7.190700000023753e-06,1.3839799999857405e-05,7.579899999967665e-06,1.3453599999877496e-05,1.2466099999954849e-05,1.694379999989337e-05
19,19,291.0,9.847099999973352e-06,8.65070000003243e-06,7.442999999938138e-06,6.430199999982733e-06,6.1580999999932826e-06,8.73969999986457e-06,1.202439999985927e-05,8.11799999993923e-06,5.411100000003444e-06,7.21380000001659e-06,5.5744999998808e-06,8.221899999938387e-06,6.5843000000143096e-06,8.676699999909943e-06,6.848499999989599e-06,6.8238000000064855e-06,8.583299999997962e-06,1.1809699999929535e-05,7.316199999962691e-06,5.771900000013374e-06
20,20,277.0,8.186999999963974e-06,7.637899999934916e-06,5.421099999978196e-06,1.2134299999928544e-05,6.219799999911401e-06,5.689799999970546e-06,6.167199999964623e-06,9.022299999941197e-06,7.326799999987088e-06,5.874499999976024e-06,1.195819999992409e-05,8.97179999995501e-06,7.399299999946152e-06,5.399799999850075e-06,5.401599999999007e-06,5.662899999947512e-06,1.0927999999950089e-05,1.0147499999959563e-05,9.99419999985207e-06,8.262700000045697e-06
21,21,531.0,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,8.364600000021482e-06,0.0040000000000000565,0.0020000000000000282,7.619399999896359e-06,0.0020000000000000282,8.263199999873905e-06,0.007999999999999972,0.0020000000000000282,1.0484799999943562e-05,0.0020000000000000282,0.0040000000000000565,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282
22,22,258.0,8.0859999999916e-06,7.597799999956578e-06,7.2301999999524465e-06,5.475699999948347e-06,5.4669999998679945e-06,8.615800000058016e-06,8.223699999945211e-06,7.435100000066086e-06,9.867299999939404e-06,7.777900000007776e-06,6.414499999891632e-06,1.1894199999886723e-05,6.901299999952926e-06,5.442999999871745e-06,6.0557999999844016e-06,7.0595999999056856e-06,5.401399999982459e-06,5.943199999904891e-06,9.970299999935151e-06,7.016400000026124e-06
23,23,180.0,9.202499999929614e-06,5.405199999870547e-06,5.638399999980948e-06,5.402599999939639e-06,6.11639999988256e-06,5.4076000000691235e-06,5.8903999999415644e-06,5.400299999962499e-06,8.235299999910239e-06,8.437599999950862e-06,7.3956999999325035e-06,7.833500000060667e-06,5.790399999909823e-06,6.177300000018704e-06,6.5501999999639795e-06,5.933899999917003e-06,5.417899999997644e-06,6.37699999998631e-06,5.504399999978204e-06,7.610400000004347e-06
24,24,340.0,0.0020000000000000282,0.0020000000000000282,5.405999999936739e-06,9.57639999995763e-06,5.439299999920877e-06,7.152700000006007e-06,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,6.22569999990219e-06,5.58799999993198e-06,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,7.101499999890848e-06,6.199899999899116e-06,6.325100000026396e-06,7.002899999974943e-06,5.7257999999649204e-06,9.253399999948897e-06
25,25,406.0,1.1561099999966017e-05,1.0412400000063826e-05,1.8683400000014672e-05,5.6836000000259905e-06,7.87419999994654e-06,7.827900000023646e-06,8.644199999991997e-06,5.827999999894473e-06,7.569099999926721e-06,1.2216299999892044e-05,1.4000999999979058e-05,2.0093699999961247e-05,8.410199999957512e-06,1.3072799999918061e-05,2.1399999999971443e-05,1.1553100000014638e-05,1.0579699999908598e-05,1.4610399999952505e-05,9.044299999914074e-06,6.197199999888881e-06
26,26,668.5,0.04,0.04799999999999997,0.03200000000000003,0.03200000000000003,0.04,0.03,0.04200000000000003,0.027999999999999973,0.04799999999999997,0.027999999999999973,0.04,0.027999999999999973,0.03400000000000006,0.027999999999999973,0.03599999999999994,0.027999999999999973,0.04200000000000003,0.03200000000000003,0.024000000000000056,0.03200000000000003
