,,$\nu=0.1$,$\nu=0.1$,$\nu=0.1$,$\nu=0.25$,$\nu=0.25$,$\nu=0.25$
,,precision,recall,F-score,precision,recall,F-score
$\eta=0.25$,TIMO,0.99(0.16),1.00(0.08),0.99(0.10),0.87(0.45),0.84(0.52),0.84(0.42)
$\eta=0.25$,ECP,0.44(0.16),0.98(0.24),0.60(0.16),0.28(0.57),0.61(1.28),0.39(0.79)
$\eta=0.25$,MN,0.07(0.16),0.29(0.70),0.11(0.26),0.08(0.12),0.57(0.80),0.14(0.20)
$\eta=1$,TIMO,0.99(0.13),1.00(0.04),0.99(0.08),0.97(0.23),1.00(0.04),0.98(0.13)
$\eta=1$,ECP,0.45(0.15),1.00(0.00),0.62(0.12),0.44(0.07),0.98(0.24),0.61(0.09)
$\eta=1$,MN,0.10(0.18),0.44(0.77),0.17(0.29),0.09(0.11),0.61(0.76),0.15(0.19)
