,,$\nu=0.1$,$\nu=0.25$
$n=1000$,$\eta=0.5$,0.0020(0.0006),0.0028(0.0005)
$n=1000$,$\eta=1$,0.0022(0.0007),0.0030(0.0015)
$n=2000$,$\eta=0.5$,0.0013(0.0008),0.0021(0.0007)
$n=2000$,$\eta=1$,0.0016(0.0024),0.0025(0.0031)
