,,nu = 0.1,nu = 0.1,nu = 0.1,nu = 0.25,nu = 0.25,nu = 0.25
,,precision,recall,f-score,precision,recall,f-score
eta = 0.5,ot,0.953(0.086),0.994(0.039),0.97(0.052),0.898(0.131),0.882(0.15),0.881(0.117)
eta = 0.5,ecp,0.445(0.026),0.999(0.032),0.616(0.026),0.4(0.068),0.879(0.202),0.549(0.104)
eta = 0.5,mn,0.174(0.011),1.0(0.0),0.296(0.016),0.155(0.015),1.0(0.0),0.267(0.023)
eta = 1,ot,0.958(0.082),0.998(0.023),0.975(0.048),0.953(0.086),0.994(0.039),0.97(0.052)
eta = 1,ecp,0.454(0.063),1.0(0.0),0.622(0.048),0.445(0.026),0.999(0.032),0.616(0.026)
eta = 1,mn,0.284(0.027),1.0(0.0),0.441(0.033),0.174(0.011),1.0(0.0),0.296(0.016)
