,,$\nu=0.1$,$\nu=0.1$,$\nu=0.1$,$\nu=0.25$,$\nu=0.25$,$\nu=0.25$
,,precision,recall,F-score,precision,recall,F-score
$\eta=0.25$,TIMO,0.93(0.32),0.99(0.14),0.95(0.19),0.82(0.48),0.81(0.56),0.80(0.45)
$\eta=0.25$,ECP,0.43(0.26),0.91(0.44),0.58(0.26),0.26(0.53),0.54(1.19),0.35(0.73)
$\eta=0.25$,MN,0.23(0.10),0.96(0.32),0.37(0.15),0.07(0.14),0.39(0.78),0.12(0.24)
$\eta=1$,TIMO,0.95(0.28),1.00(0.05),0.97(0.16),0.91(0.34),1.00(0.12),0.95(0.21)
$\eta=1$,ECP,0.45(0.21),1.00(0.00),0.62(0.16),0.44(0.11),0.96(0.33),0.60(0.14)
$\eta=1$,MN,0.21(0.21),0.74(0.71),0.33(0.32),0.10(0.14),0.58(0.79),0.17(0.24)
