,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,precision,recall,f-score,precision,recall,f-score
n=500,OT,0.908(0.1),0.985(0.059),0.94(0.058),1.0(0.0),1.0(0.0),1.0(0.0)
n=500,MN,0.98(0.06),1.0(0.0),0.989(0.033),0.941(0.109),1.0(0.0),0.966(0.064)
n=500,ECP,1.0(0.0),1.0(0.0),1.0(0.0),0.992(0.039),1.0(0.0),0.996(0.022)
n=1000,OT,0.996(0.028),1.0(0.0),0.998(0.016),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,MN,0.963(0.089),1.0(0.0),0.979(0.051),0.947(0.098),1.0(0.0),0.97(0.056)
n=1000,ECP,0.985(0.06),1.0(0.0),0.992(0.035),0.988(0.047),1.0(0.0),0.993(0.026)
