,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,precision,recall,f-score,precision,recall,f-score
n=500,OT,0.982(0.064),0.992(0.043),0.986(0.047),0.953(0.088),1.0(0.0),0.974(0.049)
n=500,MN,0.981(0.063),1.0(0.0),0.989(0.036),0.924(0.122),1.0(0.0),0.956(0.072)
n=500,ECP,0.991(0.047),1.0(0.0),0.995(0.027),0.994(0.034),1.0(0.0),0.997(0.019)
n=1000,OT,0.984(0.054),0.998(0.025),0.99(0.033),0.966(0.075),1.0(0.0),0.981(0.042)
n=1000,MN,0.962(0.092),1.0(0.0),0.978(0.054),0.93(0.123),1.0(0.0),0.959(0.074)
n=1000,ECP,0.992(0.039),1.0(0.0),0.996(0.022),0.998(0.02),1.0(0.0),0.999(0.011)
