,,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,,precision,recall,f-score,precision,recall,f-score
n=500,nu=0.05,OT,0.981(0.061),0.99(0.049),0.984(0.048),0.976(0.065),1.0(0.0),0.987(0.036)
n=500,nu=0.05,MN,0.553(0.116),0.888(0.16),0.676(0.12),0.601(0.092),1.0(0.0),0.747(0.068)
n=500,nu=0.05,ECP,0.673(0.127),1.0(0.0),0.798(0.092),0.614(0.147),1.0(0.0),0.751(0.106)
n=500,nu=0.1,OT,0.974(0.067),0.985(0.059),0.977(0.048),0.976(0.065),1.0(0.0),0.987(0.036)
n=500,nu=0.1,MN,0.328(0.082),0.72(0.222),0.449(0.117),0.502(0.053),0.998(0.025),0.667(0.049)
n=500,nu=0.1,ECP,0.475(0.091),0.998(0.025),0.639(0.073),0.471(0.096),1.0(0.0),0.635(0.075)
n=1000,nu=0.05,OT,0.976(0.065),1.0(0.0),0.987(0.036),0.976(0.065),1.0(0.0),0.987(0.036)
n=1000,nu=0.05,MN,0.496(0.06),0.978(0.072),0.656(0.062),0.524(0.057),1.0(0.0),0.686(0.049)
n=1000,nu=0.05,ECP,0.516(0.115),1.0(0.0),0.674(0.09),0.507(0.109),1.0(0.0),0.667(0.085)
n=1000,nu=0.1,OT,0.968(0.073),1.0(0.0),0.982(0.041),0.966(0.075),1.0(0.0),0.981(0.042)
n=1000,nu=0.1,MN,0.327(0.056),0.895(0.167),0.479(0.082),0.412(0.049),1.0(0.0),0.582(0.048)
n=1000,nu=0.1,ECP,0.45(0.049),1.0(0.0),0.62(0.042),0.461(0.073),1.0(0.0),0.628(0.057)
