,,,eta=0.5,,,eta=1,,
,,,precision,recall,f-score,precision,recall,f-score
n=500,nu=0.05,OT,0.94(0.092),0.992(0.045),0.962(0.054),1.0(0.0),1.0(0.0),1.0(0.0)
,,MN,0.196(0.033),0.983(0.09),0.327(0.048),0.207(0.039),1.0(0.0),0.341(0.053)
,,ECP,0.917(0.158),0.533(0.256),0.633(0.213),0.901(0.174),0.55(0.269),0.637(0.224)
,nu=0.1,OT,0.88(0.098),1.0(0.0),0.933(0.054),0.987(0.05),1.0(0.0),0.993(0.028)
,,MN,0.201(0.027),0.983(0.062),0.333(0.038),0.215(0.029),0.992(0.045),0.352(0.04)
,,ECP,0.783(0.17),0.808(0.179),0.794(0.171),0.842(0.137),0.842(0.137),0.842(0.137)
n=1000,nu=0.05,OT,0.96(0.08),1.0(0.0),0.978(0.044),1.0(0.0),1.0(0.0),1.0(0.0)
,,MN,0.179(0.018),1.0(0.0),0.304(0.026),0.179(0.02),1.0(0.0),0.303(0.029)
,,ECP,0.948(0.108),0.892(0.201),0.902(0.165),0.863(0.189),0.85(0.189),0.847(0.189)
,nu=0.1,OT,0.907(0.1),1.0(0.0),0.948(0.055),1.0(0.0),1.0(0.0),1.0(0.0)
,,MN,0.184(0.02),1.0(0.0),0.31(0.028),0.184(0.019),1.0(0.0),0.31(0.026)
,,ECP,0.847(0.174),0.883(0.14),0.862(0.155),0.764(0.194),0.833(0.149),0.793(0.168)
