,,eta=0.25,eta=0.25,eta=0.25,eta=0.75,eta=0.75,eta=0.75
,,precision,recall,f-score,precision,recall,f-score
n=250,OT,0.965(0.079),0.95(0.1),0.953(0.07),1.0(0.0),0.975(0.075),0.986(0.043)
n=250,MN,0.96(0.182),0.958(0.184),0.958(0.181),0.967(0.075),1.0(0.0),0.981(0.041)
n=250,ECP,0.987(0.05),1.0(0.0),0.993(0.028),0.987(0.05),1.0(0.0),0.993(0.028)
n=1000,OT,1.0(0.0),1.0(0.0),1.0(0.0),1.0(0.0),0.992(0.045),0.995(0.026)
n=1000,MN,0.956(0.092),1.0(0.0),0.975(0.053),0.973(0.068),1.0(0.0),0.985(0.038)
n=1000,ECP,0.993(0.036),1.0(0.0),0.996(0.02),0.987(0.05),1.0(0.0),0.993(0.028)
