,,,eta=0.25,eta=0.25,eta=0.25,eta=0.75,eta=0.75,eta=0.75
,,,precision,recall,f-score,precision,recall,f-score
n=250,nu=0.25,OT,0.613(0.185),0.842(0.209),0.675(0.152),1.0(0.0),0.917(0.118),0.952(0.067)
n=250,nu=0.25,MN,0.076(0.043),0.425(0.243),0.129(0.073),0.047(0.042),0.275(0.253),0.08(0.071)
n=250,nu=0.25,ECP,0.095(0.199),0.092(0.151),0.084(0.137),0.032(0.081),0.033(0.085),0.032(0.083)
n=250,nu=0.75,OT,0.993(0.036),1.0(0.0),0.996(0.02),1.0(0.0),1.0(0.0),1.0(0.0)
n=250,nu=0.75,MN,0.057(0.045),0.233(0.182),0.092(0.072),0.032(0.03),0.167(0.149),0.054(0.049)
n=250,nu=0.75,ECP,0.161(0.116),0.258(0.188),0.198(0.143),0.03(0.068),0.042(0.093),0.034(0.078)
n=1000,nu=0.25,OT,0.762(0.067),0.908(0.177),0.823(0.118),1.0(0.0),0.95(0.1),0.971(0.057)
n=1000,nu=0.25,MN,0.077(0.025),0.475(0.163),0.133(0.043),0.069(0.027),0.517(0.223),0.122(0.048)
n=1000,nu=0.25,ECP,0.173(0.108),0.258(0.164),0.207(0.13),0.0(0.0),0.0(0.0),0.0(0.0)
n=1000,nu=0.75,OT,1.0(0.0),1.0(0.0),1.0(0.0),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.75,MN,0.067(0.031),0.358(0.167),0.113(0.052),0.062(0.024),0.375(0.141),0.106(0.041)
n=1000,nu=0.75,ECP,0.161(0.094),0.25(0.144),0.195(0.114),0.024(0.061),0.033(0.085),0.028(0.07)
